Year,Rank,Movie Name,MovieURL,Gross,Theaters,Total Gross,Release Date
2023,114,"Star Wars: Episode VI - Return of the Jedi
2023 Re-release",https://www.boxofficemojo.com/release/rl1133413121/?ref_=bo_yld_table_114,,,"$7,259,924",475
2023,115,Everything Everywhere All at Once,https://www.boxofficemojo.com/release/rl3861218049/?ref_=bo_yld_table_115,,,"$7,183,197","2,220"
2023,116,Dunki,https://www.boxofficemojo.com/release/rl2847769345/?ref_=bo_yld_table_116,,,"$7,160,815",650
2023,117,"Coraline
2023 Re-release (remastered)",https://www.boxofficemojo.com/release/rl3214443265/?ref_=bo_yld_table_117,,,"$7,149,366","1,469"
2023,118,Retribution,https://www.boxofficemojo.com/release/rl178029313/?ref_=bo_yld_table_118,,,"$6,937,696","1,750"
2023,119,Journey to Bethlehem,https://www.boxofficemojo.com/release/rl330924801/?ref_=bo_yld_table_119,,,"$6,816,475","2,002"
2023,120,Next Goal Wins,https://www.boxofficemojo.com/release/rl3805971201/?ref_=bo_yld_table_120,,,"$6,713,826","2,240"
2023,121,Operation Fortune: Ruse de Guerre,https://www.boxofficemojo.com/release/rl3305145089/?ref_=bo_yld_table_121,,,"$6,496,125","2,168"
2023,122,BTS: Yet to Come in Cinemas,https://www.boxofficemojo.com/release/rl1828487937/?ref_=bo_yld_table_122,,,"$6,350,496","1,210"
2023,123,Babylon,https://www.boxofficemojo.com/release/rl2308997633/?ref_=bo_yld_table_123,,,"$6,268,558","3,351"
2023,124,Love Again,https://www.boxofficemojo.com/release/rl4031233/?ref_=bo_yld_table_124,,,"$6,230,837","2,703"
2023,125,Dream Scenario,https://www.boxofficemojo.com/release/rl2292482817/?ref_=bo_yld_table_125,,,"$5,615,011","1,578"
2023,126,The Fabelmans,https://www.boxofficemojo.com/release/rl337871617/?ref_=bo_yld_table_126,,,"$5,541,550","1,962"
2023,127,The Chosen Season 3 Finale,https://www.boxofficemojo.com/release/rl1308394241/?ref_=bo_yld_table_127,,,"$5,525,069","1,979"
2023,128,Nefarious,https://www.boxofficemojo.com/release/rl1073644289/?ref_=bo_yld_table_128,,,"$5,433,685",933
2023,129,Big George Foreman,https://www.boxofficemojo.com/release/rl135365377/?ref_=bo_yld_table_129,,,"$5,426,772","3,054"
2023,130,Waitress: The Musical,https://www.boxofficemojo.com/release/rl306479105/?ref_=bo_yld_table_130,,,"$5,402,148","1,214"
2023,131,Tiger 3,https://www.boxofficemojo.com/release/rl2410840833/?ref_=bo_yld_table_131,,,"$5,365,263",779
2023,132,Women Talking,https://www.boxofficemojo.com/release/rl784827137/?ref_=bo_yld_table_132,,,"$5,321,627",707
2023,133,Freelance,https://www.boxofficemojo.com/release/rl329679617/?ref_=bo_yld_table_133,,,"$5,314,136","2,057"
2023,134,Infinity Pool,https://www.boxofficemojo.com/release/rl4009329409/?ref_=bo_yld_table_134,,,"$5,078,400","1,835"
2023,135,"Hocus Pocus
30th Anniversary re-release",https://www.boxofficemojo.com/release/rl1018200833/?ref_=bo_yld_table_135,,,"$4,929,004","1,430"
2023,136,You Hurt My Feelings,https://www.boxofficemojo.com/release/rl3699737345/?ref_=bo_yld_table_136,,,"$4,830,788",912
2023,137,Kandahar,https://www.boxofficemojo.com/release/rl1375503105/?ref_=bo_yld_table_137,,,"$4,813,132","2,105"
2023,138,Golda,https://www.boxofficemojo.com/release/rl3656090369/?ref_=bo_yld_table_138,,,"$4,801,781",883
2023,139,It Lives Inside,https://www.boxofficemojo.com/release/rl1487897345/?ref_=bo_yld_table_139,,,"$4,675,092","2,005"
2023,140,Hypnotic,https://www.boxofficemojo.com/release/rl982024961/?ref_=bo_yld_table_140,,,"$4,500,169","2,118"
2023,141,"Stop Making Sense
2023 Re-release",https://www.boxofficemojo.com/release/rl933921537/?ref_=bo_yld_table_141,,,"$4,481,445",786
2023,142,Marlowe,https://www.boxofficemojo.com/release/rl1593606913/?ref_=bo_yld_table_142,,,"$4,350,243","2,281"
2023,143,The Amazing Maurice,https://www.boxofficemojo.com/release/rl317883137/?ref_=bo_yld_table_143,,,"$4,303,645","1,717"
2023,144,Mummies,https://www.boxofficemojo.com/release/rl2532410113/?ref_=bo_yld_table_144,,,"$4,275,970",384
2023,145,Theater Camp,https://www.boxofficemojo.com/release/rl1652851457/?ref_=bo_yld_table_145,,,"$4,009,945",555
2023,146,Ponniyin Selvan: Part Two,https://www.boxofficemojo.com/release/rl848331521/?ref_=bo_yld_table_146,,,"$3,813,000",-
2023,147,Anatomy of a Fall,https://www.boxofficemojo.com/release/rl1739752193/?ref_=bo_yld_table_147,,,"$3,742,039",583
2023,148,Left Behind: Rise of the Antichrist,https://www.boxofficemojo.com/release/rl3337192193/?ref_=bo_yld_table_148,,,"$3,649,422","1,407"
2023,149,The Journey: A Music Special from Andrea Bocelli,https://www.boxofficemojo.com/release/rl1049461505/?ref_=bo_yld_table_149,,,"$3,574,915","1,074"
2023,150,Chevalier,https://www.boxofficemojo.com/release/rl165708545/?ref_=bo_yld_table_150,,,"$3,541,159","1,281"
2023,151,Mafia Mamma,https://www.boxofficemojo.com/release/rl646087425/?ref_=bo_yld_table_151,,,"$3,496,761","2,002"
2023,152,The Wandering Earth II,https://www.boxofficemojo.com/release/rl1190560513/?ref_=bo_yld_table_152,,,"$3,444,487",172
2023,153,A Thousand and One,https://www.boxofficemojo.com/release/rl3773006593/?ref_=bo_yld_table_153,,,"$3,400,020",926
2023,154,Violent Night,https://www.boxofficemojo.com/release/rl4179395329/?ref_=bo_yld_table_154,,,"$3,278,955","3,723"
2023,155,What Happens Later,https://www.boxofficemojo.com/release/rl2931196673/?ref_=bo_yld_table_155,,,"$3,273,895","1,492"
2023,156,2023 Oscar Nominated Short Films: Live Action,https://www.boxofficemojo.com/release/rl2357232385/?ref_=bo_yld_table_156,,,"$3,025,631",357
2023,157,Living,https://www.boxofficemojo.com/release/rl3218244353/?ref_=bo_yld_table_157,,,"$2,984,305",644
2023,158,"Jurassic Park
2023 Re-release (30th Anniversary)",https://www.boxofficemojo.com/release/rl94995201/?ref_=bo_yld_table_158,,,"$2,970,355","1,224"
